Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,Latitude,Longitude,Cluster
Kalimantan Barat,MELAWI,Belimbing,Tekaban,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.41351,111.60397,2
Kalimantan Barat,MELAWI,Belimbing,Tekaban,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.40953,111.61059,2
Kalimantan Barat,MELAWI,Belimbing Hulu,Nanga Tikan,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.45546,111.57509,2
Kalimantan Barat,MELAWI,Belimbing Hulu,Nanga Tikan,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.41666,111.58301,2
Kalimantan Barat,MELAWI,Belimbing Hulu,Nanga Tikan,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.41257,111.58916,2
Kalimantan Barat,MELAWI,Ella Hilir,Kahiya,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.61044,111.95261,3
Kalimantan Barat,MELAWI,Ella Hilir,Nyanggau,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.51758,112.1405,0
Kalimantan Barat,MELAWI,Menukung,Batas Nangka,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.33793,112.29549,0
Kalimantan Barat,MELAWI,Menukung,Nanga Melona Satu,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.37988,112.35873,0
Kalimantan Barat,MELAWI,Menukung,Sampak,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.50408,112.23573,0
Kalimantan Barat,MELAWI,Menukung,Sampak,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.50338,112.22876,0
Kalimantan Barat,MELAWI,Menukung,Sungai Sampuk,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.36309,112.29893,0
Kalimantan Barat,MELAWI,Pinoh Selatan,Nanga Pintas,13/08/2024,13:22 WIB,NASA-MODIS,Medium,-0.58228,111.79121,3
