Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,Latitude,Longitude,Count
Kalimantan Barat,KETAPANG,Simpang Hulu,Labai Hilir,12-08-2024,09:34 WIB,NASA-MODIS,Medium,-0.61162,109.92787,1
Kalimantan Barat,KETAPANG,Hulu Sungai,Kenyabur,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.69322,111.007,1
Kalimantan Barat,KETAPANG,Hulu Sungai,Sekukun,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.26149,110.77117,1
Kalimantan Barat,KETAPANG,Hulu Sungai,Senduruhan,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.96459,110.78564,1
Kalimantan Barat,KETAPANG,Hulu Sungai,Senduruhan,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.96401,110.78944,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Biku Sarana,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-2.08919,110.90235,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Deranuk,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-2.03639,110.820155,2
Kalimantan Barat,KETAPANG,Jelai Hulu,Kesuma Jaya,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.92179,110.83543,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Kusik Batu Lapu,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-2.01392,110.91177,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Limpang,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.89416,110.84752,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Limpang,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.88997,110.84679,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Semantun,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-2.08311,110.972,1
Kalimantan Barat,KETAPANG,Kendawangan,Sungai Jelayan,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-2.1575,110.471965,2
Kalimantan Barat,KETAPANG,Manis Mata,Sengkuang Merabong,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-2.200415,110.96654,2
Kalimantan Barat,KETAPANG,Marau,Bantan Sari,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-2.13388,110.833925,2
Kalimantan Barat,KETAPANG,Marau,Batu Payung Dua,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-2.051,110.5792,1
Kalimantan Barat,KETAPANG,Marau,Riam Batu Gading,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-2.11062,110.758075,2
Kalimantan Barat,KETAPANG,Marau,Runjai Jaya,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-2.08013,110.817935,2
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-2.05642,110.39508,1
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.99124,110.34793,1
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.9906,110.352105,2
Kalimantan Barat,KETAPANG,Nanga Tayap,Betenung,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.56909,110.824165,2
Kalimantan Barat,KETAPANG,Nanga Tayap,Betenung,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.5607,110.82296,1
Kalimantan Barat,KETAPANG,Nanga Tayap,Kayung Tuhe,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.59109,110.61962,1
Kalimantan Barat,KETAPANG,Sandai,Pendamaran Indah,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.08982,110.61942,1
Kalimantan Barat,KETAPANG,Sandai,Pendamaran Indah,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.08922,110.62329,1
Kalimantan Barat,KETAPANG,Sandai,Pendamaran Indah,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.03992,110.63593,1
Kalimantan Barat,KETAPANG,Sandai,Randau Jungkal,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.0563,110.669935,2
Kalimantan Barat,KETAPANG,Sandai,Randau Jungkal,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.05571,110.67381,1
Kalimantan Barat,KETAPANG,Sandai,Randau Jungkal,12-08-2024,12:40 WIB,"NASA-NOAA20,NASA-SNPP",Medium,-1.0530966666666668,110.66845,3
Kalimantan Barat,KETAPANG,Sandai,Sandai,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.26585,110.54104,1
Kalimantan Barat,KETAPANG,Simpang Dua,Kampar Sebomban,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.71073,110.156845,2
Kalimantan Barat,KETAPANG,Simpang Hulu,Balai Pinang Hulu,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.58055,110.44242,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Balai Pinang Hulu,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.5612,110.39893,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Balai Pinang Hulu,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.5521,110.40163,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Kenanga,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.64006,110.535095,2
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hilir,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.60773,110.23795,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hilir,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.57886,110.25438,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hilir,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.57824,110.25842,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hulu,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.524275,110.5848,2
Kalimantan Barat,KETAPANG,Simpang Hulu,Legong,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.5863866666666667,110.54701,3
Kalimantan Barat,KETAPANG,Simpang Hulu,Merawa,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.54377,110.48486,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Hulu,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.58541,110.46702,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Hulu,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.548,110.48547,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Hulu,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.54739,110.489465,2
Kalimantan Barat,KETAPANG,Sungai Laur,Harapan Baru,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.64554,110.55566,1
Kalimantan Barat,KETAPANG,Sungai Laur,Tanjung Maju,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-0.670685,110.47585,2
Kalimantan Barat,KETAPANG,Sungai Melayu Rayak,Sungai Melayu,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.81444,110.45193,1
Kalimantan Barat,KETAPANG,Tumbang Titi,Nanga Kelampai,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.89583,110.5732,1
Kalimantan Barat,KETAPANG,Tumbang Titi,Petebang Jaya,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.88278,110.75019,1
Kalimantan Barat,KETAPANG,Tumbang Titi,Segar Wangi,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.87503,110.517485,2
Kalimantan Barat,KETAPANG,Tumbang Titi,Segar Wangi,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.85968,110.53175,1
Kalimantan Barat,KETAPANG,Tumbang Titi,Titi Baru,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.86393,110.61875,1
Kalimantan Barat,KETAPANG,Tumbang Titi,Titi Baru,12-08-2024,12:40 WIB,NASA-NOAA20,Medium,-1.86293,110.622165,2
Kalimantan Barat,KETAPANG,Jelai Hulu,Air Dua,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-1.97374,110.820485,2
Kalimantan Barat,KETAPANG,Jelai Hulu,Air Dua,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-1.970355,110.82339,2
Kalimantan Barat,KETAPANG,Jelai Hulu,Kusik Batu Lapu,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-2.0283,110.909,1
Kalimantan Barat,KETAPANG,Kendawangan,Pembedilan,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-2.78942,110.401325,2
Kalimantan Barat,KETAPANG,Marau,Runjai Jaya,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-2.07419,110.806055,2
Kalimantan Barat,KETAPANG,Marau,Runjai Jaya,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-2.07312,110.81258,1
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,12-08-2024,12:16 WIB,NASA-SNPP,Medium,-2.05967,110.39552499999999,2
Kalimantan Barat,KETAPANG,Muara Pawan,Suka Maju,12-08-2024,12:16 WIB,NASA-SNPP,Medium,-1.78141,110.04517,1
Kalimantan Barat,KETAPANG,Nanga Tayap,Kayung Tuhe,12-08-2024,12:16 WIB,NASA-SNPP,Medium,-1.59026,110.61584500000001,2
Kalimantan Barat,KETAPANG,Pemahan,Usaha Baru,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-1.6946,110.49373,1
Kalimantan Barat,KETAPANG,Pemahan,Usaha Baru,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-1.69453,110.498155,2
